rank,name,city
1,University of Delhi,New Delhi
2,Indian Institute of Technology Bombay,Mumbai
3,Indian Institute of Technology Kanpur,Kanpur
4,Indian Institute of Technology Madras,Chennai
5,Indian Institute of Technology Delhi,New Delhi
6,Indian Institute of Technology Kharagpur,Kharagpur
7,Indian Institute of Science,Bangalore
8,Jawaharlal Nehru University,New Delhi
9,Savitribai Phule Pune University,Pune
10,Vellore Institute of Technology,Vellore ...
11,Manipal Academy of Higher Education,Manipal ...
12,Amrita Vishwa Vidyapeetham,Coimbatore ...
13,Narendra Dev University of Agriculture and Technology,Faizabad
14,Amity University,Noida ...
15,"International Institute of Information Technology, Hyderabad",Hyderabad
16,Narsee Monjee Institute of Management and Higher Studies,Mumbai
17,Birla Institute of Technology and Science,Pilani ...
18,Anna University,Chennai
19,Lovely Professional University,Phagwara
20,All India Institute of Medical Sciences Delhi,New Delhi
21,SRM Institute of Science and Technology,Chennai ...
22,Tata Institute of Fundamental Research,Mumbai
23,University of Mumbai,Mumbai
24,Indian Institute of Technology Guwahati,Guwahati
25,Tata Institute of Social Sciences,Mumbai
26,Chandigarh University,Mohali ...
27,University of Lucknow,Lucknow
28,Jamia Millia Islamia,New Delhi
29,Tamil Nadu Agricultural University,Coimbatore ...
30,Indian Statistical Institute,Kolkata ...
31,National Institute of Mental Health and Neuro Sciences,Bangalore
32,Indian Institute of Technology Roorkee,Roorkee
33,Banaras Hindu University,Varanasi
34,Panjab University,Chandigarh
35,Bangalore University,Bangalore
36,Christ University,Bangalore
37,University of Madras,Chennai
38,National Institute of Design,Ahmedabad ...
39,Osmania University,Hyderabad
40,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
41,Aligarh Muslim University,Aligarh ...
42,Baba Ghulam Shah Badhshah University,Rajouri
43,Gujarat Technological University,Ahmedabad
44,National Institute of Fashion Technology,New Delhi ...
45,Guru Gobind Singh Indraprastha University,New Delhi
46,Kurukshetra University,Kurukshetra ...
47,Visvesvaraya Technological University,Belgaum
48,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur
49,Cochin University of Science and Technology,Kochi
50,University of Calcutta,Kolkata
51,Chaudhary Charan Singh Haryana Agricultural University,Hisar
52,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
53,"National Institute of Technology, Rourkela",Rourkela
54,Indian Institute of Technology Gandhinagar,Chandkheda
55,Indian Institute of Technology Hyderabad,Eddumailaram
56,University of Petroleum and Energy Studies,Dehradun
57,Gandhi Institute of Technology and Management,Visakhapatnam
58,"Chitkara University, Punjab",Punjab
59,University of Allahabad,Allahabad
60,The Maharaja Sayajirao University of Baroda,Vadodara
61,University of Hyderabad,Hyderabad
62,University of Rajasthan,Jaipur
63,University of Mysore,Mysore ...
64,"University of Engineering and Management, Kolkata",Kolkata
65,Sharda University,Greater Noida
66,Gulbarga University,Gulbarga
67,"Maulana Abul Kalam Azad University of Technology, West Bengal",Kolkata
68,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
69,Birla Institute of Technology,Ranchi ...
70,Jadavpur University,Kolkata
71,University of Kerala,Thiruvananthapuram
72,"National Institute of Technology, Silchar",Silchar
73,Nirma University,Ahmedabad
74,KIIT University,Bhubaneswar
75,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
76,SASTRA University,Thanjavur ...
77,Jawaharlal Nehru Technological University,Hyderabad ...
78,International Institute of Information Technology Bangalore,Bangalore
79,Mahatma Gandhi University,Kottayam
80,Post Graduate Institute of Medical Education and Research,Chandigarh
81,"National Institute of Technology, Calicut",Calicut
82,"National Institute of Technology, Karnataka",Mangalore
83,Chennai Mathematical Institute,Chennai
84,Indian Maritime University,Chennai
85,Gauhati University,Guwahati
86,Thapar Institute of Engineering and Technology,Patiala
87,Indian Institute of Information Technology Allahabad,Allahabad
88,Madurai Kamaraj University,Madurai
89,National Law School of India University,Bangalore
90,Jain University,Bangalore
91,O.P. Jindal Global University,Sonipat
92,Patna University,Patna
93,Lalit Narayan Mithila University,Darbhanga
94,Delhi Technological University,New Delhi
95,APJ Abdul Kalam Technological University,Thiruvananthapuram
96,Indian Institute of Foreign Trade,New Delhi
97,"Indian Institute of Science Education and Research, Pune",Pune
98,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal ...
99,Chaudhary Charan Singh University,Meerut
100,Devi Ahilya Vishwavidyalaya,Indore
101,Indian School of Mines,Dhanbad
102,Ashoka University,Sonipat
103,Indira Gandhi Institute of Development Research,Mumbai
104,"Indian Institute of Technology, BHU",Varanasi
105,Alagappa University,Karaikudi
106,Motilal Nehru National Institute of Technology Allahabad,Allahabad
107,Guru Nanak Dev University,Amritsar
108,University of Calicut,Tenhipalam ...
109,North Eastern Hill University,Shillong ...
110,Tamil Nadu Teacher Education University,Chennai
111,Azim Premji University,Bangalore
112,Annamalai University,Chidambaram
113,Andhra University,Visakhapatnam
114,Jawaharlal Nehru Centre for Advanced Scientific Research,Bangalore
115,Jawaharlal Institute of Postgraduate Medical Education and Research,Puducherry
116,Indian Institute of Technology Mandi,Mandi
117,Symbiosis International University,Pune
118,Veer Narmad South Gujarat University,Surat
119,"Malaviya National Institute of Technology, Jaipur",Jaipur
120,Kerala Agricultural University,Thrissur ...
121,Bharathiar University,Coimbatore
122,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar
123,Indraprastha Institute of Information Technology,New Delhi
124,University of Burdwan,Bardhaman
125,Gujarat University,Ahmedabad
126,Pondicherry University,Puducherry ...
127,CEPT University,Ahmedabad
128,Shiv Nadar University,Dadri
129,K L University,Vaddeswaram
130,Govind Ballabh Pant University of Agriculture and Technology,Pantnagar
131,Sardar Patel University,Vallabh Vidyanagar
132,Bharathidasan University,Tiruchirappalli
133,All India Institute of Medical Sciences Raipur,Raipur
134,Indian Institute of Technology Bhubaneswar,Bhubaneswar
135,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat
136,Tripura University,Agartala
137,Tezpur University,Tezpur
138,Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon ...
139,Jamia Hamdard,New Delhi
140,Jiwaji University,Gwalior
141,Visva-Bharati University,Bolpur ...
142,Punjab Agricultural University,Ludhiana ...
143,University of Kashmir,Srinagar
144,"National Institute of Technology, Durgapur",Durgapur
145,Babasaheb Bhimrao Ambedkar University,Lucknow
146,Indian Institute of Technology Jodhpur,Jodhpur
147,"Indian Institute of Science Education and Research, Kolkata",Mohanpur
148,Punjab Technical University,Kapurthala
149,Nizam's Institute of Medical Sciences,Hyderabad
150,Himachal Pradesh University,Shimla
151,Saurashtra University,Rajkot
152,Kannur University,Kannur
153,All India Institute of Medical Sciences Jodhpur,Jodhpur
154,Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram
155,Swami Vivekanand Subharti University,Meerut
156,Gujarat National Law University,Gandhinagar
157,Sathyabama Institute of Science and Technology,Chennai
158,Indian Institute of Space Science and Technology,Thiruvananthapuram
159,Mohanlal Sukhadia University,Udaipur
160,NALSAR University of Law,Hyderabad
161,Karunya Institute of Technology and Sciences,Coimbatore
162,"National Institute of Technology, Warangal",Warangal
163,Indian Agricultural Research Institute,New Delhi
164,Goa University,Taleigao
165,ITM University Raipur,Raipur
166,The Northcap University,Gurgaon ...
167,All India Institute of Medical Sciences Patna,Patna
168,Shivaji University,Kolhapur
169,"National Law University, Delhi",New Delhi
170,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
171,Invertis University,Bareilly
172,Indian Institute of Technology Indore,Indore
173,National Institute of Educational Planning and Administration,New Delhi
174,Maulana Azad National Institute of Technology,Bhopal
175,M.J.P. Rohilkhand University,Bareilly
176,Presidency University,Kolkata
177,Indian Institute of Technology Ropar,Rupnagar
178,Bharati Vidyapeeth Deemed University,Pune ...
179,Dibrugarh University,Dibrugarh
180,Baba Farid University of Health Sciences,Faridkot
181,Indian Institute of Technology Patna,Patna
182,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,Bhopal ...
183,National Dairy Research Institute,Karnal ...
184,Galgotias University,Noida
185,Padmashree Dr. D.Y. Patil Vidyapith,Navi Mumbai
186,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar
187,"Maharishi Markandeshwar University, Mullana",Mullana ...
188,Dr. Vishwanath Karad MIT World Peace University,Pune
189,Sikkim Manipal University,Gangtok
190,Dr. Ram Manohar Lohia Avadh University,Faizabad
191,"National Law University, Jodhpur",Jodhpur
192,Ambedkar University Delhi,New Delhi
193,Rajasthan Technical University Kota,Kota
194,Swami Ramanand Teerth Marathwada University,Nanded
195,Atal Bihari Vajpayee Vishwavidyalaya,Bilaspur
196,Sri Ramachandra Institute of Higher Education and Research,Chennai
197,Punjabi University Patiala,Patiala
198,Acharya Nagarjuna University,Guntur
199,Indian Veterinary Research Institute,Bareilly ...
200,PES University,Bangalore
201,Flame University,Pune
202,PEC University of Technology,Chandigarh
203,Sant Gadge Baba Amravati University,Amravati
204,Dayalbagh Educational Institute,Agra
205,University of North Bengal,Siliguri
206,"National Institute of Technology, Raipur",Raipur
207,Assam Agricultural University,Jorhat
208,Periyar University,Salem
209,NIIT University,Neemrana
210,Pandit Deendayal Petroleum University,Gandhinagar
211,Shoolini University of Biotechnology and Management Sciences,Solan
212,Kuvempu University,Shimoga
213,Banasthali Vidyapith,Banasthali ...
214,Gujarat Vidyapith,Ahmedabad ...
215,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah ...
216,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak
217,Maharashtra University of Health Sciences,Nashik
218,BML Munjal University,Gurgaon
219,Alliance University,Bangalore
220,Marwadi University,Rajkot
221,Hindustan Institute of Technology and Science,Chennai
222,Gandhigram Rural University,Gandhigram
223,Visvesvaraya National Institute of Technology,Nagpur
224,International Institute for Population Sciences,Mumbai
225,National University of Study and Research in Law,Ranchi
226,Anand Agricultural University,Anand
227,Veer Surendra Sai University of Technology,Sambalpur
228,All India Institute of Medical Sciences Rishikesh,Rishikesh
229,Ahmedabad University,Ahmedabad
230,Bennett University,Greater Noida
231,Mahatma Gandhi Kashi Vidyapeeth,Varanasi ...
232,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur
233,The LNM Institute of Information Technology,Jaipur
234,Veer Bahadur Singh Purvanchal University,Jaunpur
235,Hemwati Nandan Bahuguna Garhwal University,Srinagar
236,Jaipur National University,Jaipur
237,Ganpat University,Mehsana
238,University of Jammu,Jammu
239,"Indian Institute of Science Education and Research, Bhopal",Bhopal
240,Rani Durgavati Vishwavidyalaya,Jabalpur
241,GD Goenka University,Gurgaon
242,The West Bengal National University of Juridical Sciences,Kolkata
243,Bidhan Chandra Krishi Vishwavidyalaya,Mohanpur
244,Institute of Chemical Technology,Mumbai
245,Dr. Shakuntala Misra National Rehabilitation University,Lucknow
246,King George's Medical University,Lucknow
247,Assam University,Silchar
248,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Chennai
249,Hemchandracharya North Gujarat University,Patan
250,"National Institute of Technology, Jamshedpur",Jamshedpur
251,South Asian University,New Delhi
252,Mangalore University,Mangalore
253,"Indian Institute of Science Education and Research, Mohali",Mohali
254,University of Kalyani,Kalyani
255,Graphic Era University,Dehradun
256,Parul University,Waghodia
257,"National Institute of Technology, Kurukshetra",Kurukshetra
258,Chhattisgarh Swami Vivekananda Technical University,Bhilai
259,"Jawaharlal Nehru Technological University, Anantapur",Anantapur
260,Suresh Gyan Vihar University,Jaipur
261,"Indian Institute of Science Education and Research, Thiruvananthapuram",Thiruvananthapuram
262,Rabindra Bharati University,Kolkata
263,Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar
264,Navsari Agricultural University,Navsari ...
265,Acharya N.G. Ranga Agricultural University,Hyderabad
266,Rashtriya Sanskrit Sansthan University,New Delhi
267,Guru Jambheshwar University of Science and Technology,Hisar
268,Dr. N.T.R. University of Health Sciences,Vijayawada
269,Manonmaniam Sundaranar University,Tirunelveli
270,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar
271,Jaypee Institute of Information Technology,Noida
272,Bundelkhand University,Jhansi
273,Magadh University,Bodh Gaya
274,Mizoram University,Aizawl
275,The English and Foreign Languages University,Hyderabad
276,Integral University,Lucknow
277,Dr. Bhimrao Ambedkar University,Agra
278,REVA University,Bangalore
279,Siksha 'O' Anusandhan,Bhubaneswar
280,Saveetha Institute of Medical and Technical Sciences,Chennai
281,Graphic Era Hill University,Clement Town
282,Dr. Rajendra Prasad Central Agricultural University,Samastipur
283,All India Institute of Medical Sciences Bhopal,Bhopal
284,"National Institute of Technology, Hamirpur",Hamirpur
285,Sikkim University,Tadong
286,"School of Planning and Architecture, Delhi",New Delhi
287,Teerthanker Mahaveer University,Moradabad
288,Rajiv Gandhi University of Health Sciences,Bangalore
289,Vidyasagar University,Midnapore
290,West Bengal University of Health Sciences,Kolkata
291,Uka Tarsadia University,Bardoli ...
292,"National Institute of Technology, Patna",Patna
293,NITTE University,Mangalore
294,Manipur University,Imphal
295,Dr. Ram Manohar Lohiya National Law University,Lucknow
296,Nalanda University,Rajgir
297,Maharaja Ganga Singh University,Bikaner
298,Kalasalingam Academy of Research and Education,Krishnankoil
299,Bharath Institute of Higher Education and Research,Chennai
300,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad
301,Uttaranchal University,Dehradun
302,"University of Agricultural Sciences, Bangalore",Bangalore ...
303,TERI School of Advanced Studies,New Delhi
304,Poornima University,Jaipur
305,Quantum University,Roorkee
306,Dharmsinh Desai University,Nadiad
307,"National Institute of Technology, Meghalaya",Shillong
308,Himachal Pradesh Technical University,Hamirpur
309,Central University of Tamil Nadu,Thiruvarur
310,Shri Mata Vaishno Devi University,Katra
311,Rajiv Gandhi University of Knowledge Technologies,Hyderabad
312,Shree Guru Gobind Singh Tricentenary University,Gurgaon
313,Tamil Nadu Dr. M.G.R.Medical University,Chennai
314,Deenbandhu Chhotu Ram University of Science and Technology,Murthal
315,"National Institute of Technology, Agartala",Agartala
316,Maulana Azad National Urdu University,Hyderabad
317,Junagadh Agricultural University,Junagadh
318,Sri Venkateswara University,Tirupati
319,"Indian Institute of Information Technology, Vadodara",Gandhinagar
320,Gokhale Institute of Politics and Economics,Pune
321,Central University of Rajasthan,Ajmer
322,JECRC University,Jaipur
323,"National Institute of Technology, Srinagar",Srinagar
324,Maharishi Dayanand University,Rohtak
325,"Jawaharlal Nehru Technological University, Kakinada",Kakinada
326,Assam Don Bosco University,Guwahati
327,Indian Institute of Information Technology and Management Gwalior,Gwalior
328,Sant Longowal Institute of Engineering and Technology,Sangrur
329,Sri Venkateswara Institute of Medical Sciences,Tirupati
330,Barkatullah University,Bhopal
331,Vels University,Chennai
332,"Indian Institute of Information Technology, Design and Manufacturing",Chennai
333,North Eastern Regional Institute of Science and Technology,Itanagar
334,GLA University,Chaumuhan
335,Pandit Ravishankar Shukla University,Raipur
336,SRM University Haryana,Sonipat
337,Tilka Manjhi Bhagalpur University,Bhagalpur
338,"National Institute of Technology, Goa",Farmagudi
339,Brainware University,Barasat
340,Maharaja Ranjit Singh Punjab Technical University,Bathinda
341,Indira Gandhi National Tribal University,Amarkantak
342,Dr. D.Y. Patil Vidyapeeth,Pune
343,Central University of Jharkhand,Ranchi
344,Guru Ghasidas Vishwavidyalaya,Bilaspur
345,Jaypee University of Information Technology,Waknaghat
346,Kakatiya University,Warangal ...
347,DIT University,Dehradun
348,Nagaland University,Kohima
349,Centurion University of Technology and Management,Bhubaneswar
350,Tamil Nadu Dr Ambedkar Law University,Chennai
351,Uttarakhand Technical University,Dehradun
352,Singhania University,Jhunjhunu
353,Central University of South Bihar,Patna
354,Arunachal University of Studies,Namsai
355,Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
356,Apeejay Stya University,Gurgaon
357,Satavahana University,Karimnagar
358,JK Lakshmipat University,Jaipur
359,Gautam Buddha University,Greater Noida
360,Pravara Institute of Medical Sciences,Loni
361,University of Kota,Kota
362,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar
363,"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
364,Sri Sathya Sai Institute of Higher Learning,Anantapur
365,"Mahatma Gandhi Central University, Motihari",Motihari
366,NIMS University,Jaipur
367,National Law Institute University,Bhopal
368,VIT Bhopal University,Bhopal
369,Vignan University,Guntur
370,Biju Patnaik University of Technology,Rourkela ...
371,Central University of Punjab,Bathinda
372,Gurukul Kangri Vishwavidyalaya,Haridwar
373,The IIS University,Jaipur
374,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi
375,National Institute of Food Technology Entrepreneurship and Management,Sonipat
376,JIS University,Agarpara
377,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",Mohali
378,Assam Science and Technology University,Guwahati
379,Mangalayatan University,Aligarh
380,Rajiv Gandhi University,Itanagar
381,Rajasthan University of Health Sciences,Jaipur
382,Avinashilingam University,Coimbatore
383,Central University of Haryana,Mahendragarh
384,"National Institute of Technology, Delhi",New Delhi
385,Adamas University,Barasat
386,J.C. Bose University of Science and Technology,Faridabad
387,"Indira Gandhi University, Meerpur",Rewari
388,Karnatak University,Dharwad
389,Dr. Hari Singh Gour University,Sagar
390,Glocal University,Saharanpur
391,Ramaiah University of Applied Sciences,Bangalore
392,Utkal University,Bhubaneswar
393,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
394,Vinayaka Mission's Research Foundation,Salem
395,Kumaun University,Nainital
396,Dr. Y.S. Parmar University of Horticulture and Forestry,Nauni
397,Central University of Kashmir,Srinagar
398,Noida International University,Greater Noida
399,University of Gour Banga,Malda
400,Odisha University of Agriculture and Technology,Bhubaneswar
401,XIM University,Harirajpur ...
402,Kerala University of Health Sciences,Thrissur
403,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
404,The Indian Law Institute,New Delhi
405,Sage University,Indore
406,Ranchi University,Ranchi
407,IFHE Hyderabad,Hyderabad
408,Gujarat Ayurved University,Jamnagar
409,Dr. M.G.R. Educational and Research Institute,Chennai
410,Aliah University,Kolkata
411,Pandit Deendayal Upadhyaya Shekhawati University,Sikar
412,Indira Gandhi Institute of Medical Sciences,Patna
413,Rajasthan University of Veterinary and Animal Sciences,Bikaner
414,Ramakrishna Mission Vivekananda Educational and Research Institute,Belur ...
415,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
416,Sri Krishnadevaraya University,Anantapur ...
417,Rayalaseema University,Kurnool
418,Central University of Jammu,Jammu
419,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
420,MIT Art Design and Technology University,Pune
421,Hidayatullah National Law University,Raipur
422,Central Institute of Fisheries Education,Mumbai
423,"National Institute of Technology, Puducherry",Karaikal
424,Rajiv Gandhi National University of Law,Patiala
425,JSS Academy of Higher Education and Research,Mysore ...
426,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
427,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur
428,Madan Mohan Malaviya University of Technology,Gorakhpur
429,Maharshi Dayanand Saraswati University,Ajmer
430,Veer Kunwar Singh University,Arrah
431,Sardarkrushinagar Dantiwada Agricultural University,Palanpur
432,Vinoba Bhave University,Hazaribag
433,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
434,Adikavi Nannaya University,Rajahmundry
435,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai
